model,l<500 | r<0.25,l<500 | r>=0.25,l>=500 | r<0.25,l>=500 | r>=0.25
Baseline,55.81,59.2,45.94,74.27
Oracle,55.81,59.2,45.94,74.27
bert-base-cased,50.48,53.0,31.94,59.29
distilbert-base-cased,53.51,58.65,36.37,69.25
roberta-base,44.93,55.34,34.65,76.62
distilroberta-base,41.1,53.36,33.59,69.23
albert-base-v2,55.29,58.3,45.22,76.75
xlnet-base-cased,39.87,50.68,26.84,74.86
gpt2,25.45,42.84,30.6,59.27
