model,l<500 | r<0.25,l<500 | r>=0.25,l>=500 | r<0.25,l>=500 | r>=0.25
Baseline,25.29,70.2,38.03,63.7
bert-base-cased,82.54,93.08,87.34,95.59
distilbert-base-cased,81.85,92.67,88.1,95.47
roberta-base,71.5,89.99,79.57,93.09
distilroberta-base,68.26,89.17,77.3,91.11
albert-base-v2,79.04,91.62,85.75,94.56
xlnet-base-cased,77.74,91.5,80.92,94.04
gpt2,46.44,79.39,66.24,79.24
