model,l<500 | r<0.25,l<500 | r>=0.25,l>=500 | r<0.25,l>=500 | r>=0.25
Baseline,1.87,6.05,0.6,1.73
Oracle,15.19,10.74,3.3,3.46
bert-base-cased,9.12,8.88,2.16,3.08
distilbert-base-cased,8.88,8.85,2.12,3.02
roberta-base,6.98,8.44,1.79,2.91
distilroberta-base,6.27,8.3,1.66,2.75
albert-base-v2,8.55,8.74,2.16,3.04
xlnet-base-cased,7.03,8.53,1.66,2.89
gpt2,3.24,6.72,1.09,2.08
