model,l<500 | r<0.25,l<500 | r>=0.25,l>=500 | r<0.25,l>=500 | r>=0.25
Baseline,-6.49,-5.67,-8.66,-3.94
Oracle,-6.49,-5.67,-8.66,-3.94
bert-base-cased,-4.24,-3.88,-6.1,-3.53
distilbert-base-cased,-2.86,-2.36,-4.35,-1.94
roberta-base,-1.96,-1.74,-2.13,-1.4
distilroberta-base,-1.48,-1.36,-1.42,-1.08
albert-base-v2,-7.92,-6.96,-10.38,-4.31
xlnet-base-cased,-38.61,-34.69,-52.03,-41.37
gpt2,-18.73,-14.96,-18.14,-17.32
