corpus	model	bert_layers	finetuning_count	mean_precision	mean_recall	mean_f1	mean_hit	mean_mrr	mean_nearest_same_distance	mean_farthest_same_distance	geom_intra_mean	geom_inter_nearest_mean	geom_inter_intra_ratio	geom_centroid_margin
clres	random baseline		0	0.18462597875901898	0.006045588432659232	0.011589704451885436	0.9075852660300135	0.380264680303907	nan	nan	16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	oracle		0	1.0	0.033007289628525616	0.06327180878206855					16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	bert-base-cased	11	0	0.6633738964520313	0.021063353370393657	0.0404038731606414	0.9831377899045027	0.8653997934414717	0.17750349933370635	0.2476870133762577	8.958238031127346	2.8609601397867697	0.3193663898911529	-6.0972778913405765
clres	bert-base-cased	11	100	0.6695949826128281	0.02126399474468641	0.04078873561749229	0.980900409276944	0.863216101283242	0.3462734602793136	0.46475963232718365	16.014791023593176	4.718861980236215	0.2946564818288502	-11.29592904335696
clres	bert-base-cased	11	250	0.6753114186935911	0.021402511813860187	0.04105533108447057	0.9802182810368345	0.8708003284989979	0.358403462517027	0.4844103871841914	16.543615834161137	5.003992763864667	0.302472737158938	-11.539623070296471
clres	bert-base-cased	11	500	0.66927807928456	0.021241073383673207	0.040745012109060334	0.9831923601637109	0.8678367446736901	0.3399488421039024	0.4541282415072221	16.131018705848895	4.771009537939178	0.29576616486157026	-11.360009167909716
clres	bert-base-cased	11	1000	0.678862400144574	0.02159559514307309	0.04142236562450575	0.9815279672578449	0.8669893353955438	0.34245346184363745	0.46077251119920626	15.99800328762271	4.902148507004325	0.3064225215403603	-11.095854780618385
clres	bert-base-cased	11	2500	0.6684412089320587	0.021213207507187207	0.040691253686496	0.9809276944065486	0.8733794058257053	0.333616992469706	0.45011497186759103	16.035901331726897	4.785281772124103	0.2984105272995452	-11.250619559602795
clres	random baseline		0	0.18462597875901898	0.006045588432659232	0.011589704451885436	0.9075852660300135	0.380264680303907	nan	nan	16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	oracle		0	1.0	0.033007289628525616	0.06327180878206855					16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	random baseline		0	0.18462597875901898	0.006045588432659232	0.011589704451885436	0.9075852660300135	0.380264680303907	nan	nan	16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	oracle		0	1.0	0.033007289628525616	0.06327180878206855					16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	random baseline		0	0.18462597875901898	0.006045588432659232	0.011589704451885436	0.9075852660300135	0.380264680303907	nan	nan	16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	oracle		0	1.0	0.033007289628525616	0.06327180878206855					16.02054327399262	7.359165071756424	0.45935802212794635	-8.661378202236195
clres	bert-base-cased	11	0	0.6633738964520313	0.021063353370393657	0.0404038731606414	0.9831377899045027	0.8653997934414717	0.17750349933370635	0.2476870133762577	8.958238031127346	2.8609601397867697	0.3193663898911529	-6.0972778913405765
clres	bert-base-cased	11	100	0.6695949826128281	0.02126399474468641	0.04078873561749229	0.980900409276944	0.863216101283242	0.3462734602793136	0.46475963232718365	16.014791023593176	4.718861980236215	0.2946564818288502	-11.29592904335696
clres	bert-base-cased	11	250	0.6753114186935911	0.021402511813860187	0.04105533108447057	0.9802182810368345	0.8708003284989979	0.358403462517027	0.4844103871841914	16.543615834161137	5.003992763864667	0.302472737158938	-11.539623070296471
clres	bert-base-cased	11	500	0.66927807928456	0.021241073383673207	0.040745012109060334	0.9831923601637109	0.8678367446736901	0.3399488421039024	0.4541282415072221	16.131018705848895	4.771009537939178	0.29576616486157026	-11.360009167909716
clres	bert-base-cased	11	1000	0.678862400144574	0.02159559514307309	0.04142236562450575	0.9815279672578449	0.8669893353955438	0.34245346184363745	0.46077251119920626	15.99800328762271	4.902148507004325	0.3064225215403603	-11.095854780618385
clres	bert-base-cased	11	2500	0.6684412089320587	0.021213207507187207	0.040691253686496	0.9809276944065486	0.8733794058257053	0.333616992469706	0.45011497186759103	16.035901331726897	4.785281772124103	0.2984105272995452	-11.250619559602795
clres	distilbert-base-cased	5	0	0.6509439951760753	0.020640456025598466	0.03959377973104405	0.9832742155525246	0.8501570282832225	0.1080668681585194	0.15764911146078925	6.831407096634744	2.484618799787207	0.36370527544920694	-4.346788296847537
clres	distilbert-base-cased	5	100	0.6558121651120706	0.020803448446362602	0.039905485431272945	0.9792087312414733	0.8625030852602061	0.2957287595464065	0.4110166748165729	15.879644549204944	5.195678461187448	0.3271911058895574	-10.683966088017495
clres	distilbert-base-cased	5	250	0.6695494064864594	0.021202117665341063	0.04067087619021206	0.9816643929058664	0.8809699428097966	0.30373685083621316	0.4322065298695829	16.24682890576453	5.703982171026714	0.3510827992410806	-10.542846734737818
clres	distilbert-base-cased	5	500	0.658377807893644	0.020873448658270406	0.040040753685256225	0.983874488403821	0.8633243027574548	0.3179116621973776	0.44163842771308937	16.191394674233766	5.2629973799268335	0.32504904523772266	-10.928397294306933
clres	distilbert-base-cased	5	1000	0.6503478882498634	0.020577378135352577	0.03947385315205696	0.9808731241473397	0.857442864104438	0.29975517310743516	0.41775008106961353	15.879636724290908	5.204140191510917	0.3277241338619668	-10.675496532779992
clres	distilbert-base-cased	5	2500	0.6629323972853168	0.021063141462587677	0.040401807093199384	0.9786357435197814	0.8675303284939909	0.31224155813774274	0.44178999695836013	16.443542756004202	5.506103346384195	0.3348489694760999	-10.937439409620008
clres	roberta-base	11	0	0.47650148729512787	0.015050540011725564	0.028872050212694105	0.9694406548431111	0.7269221573851283	0.024064382430496942	0.030888076772424874	3.0496494755128114	0.923052859830565	0.3026750671650058	-2.1265966156822467
clres	roberta-base	11	100	0.5339691291954629	0.016964773859053053	0.03254043234247506	0.9656207366984993	0.756559681500127	0.19908308678863243	0.2677399496560696	14.121366997062172	4.8925440265228275	0.34646391015407213	-9.228822970539344
clres	roberta-base	11	250	0.5247738455335	0.016617492283024064	0.03187713131954572	0.9686493860845835	0.7528156363225755	0.2974070627321188	0.39763548192322395	16.460194282585032	5.124918523478704	0.3113522498881373	-11.335275759106327
clres	roberta-base	11	500	0.5628820335868769	0.017852137796582637	0.034243450965695435	0.9718417462482947	0.7957362730297856	0.2392007155556977	0.32362612376206323	15.30698792205879	5.0914619484328245	0.3326233726947387	-10.215525973625965
clres	roberta-base	11	1000	0.535348338304003	0.016872276101744004	0.032366714167384625	0.9685129604365622	0.7644316015620691	0.2577351453688073	0.3367625403454664	15.028781704825851	4.653402072230295	0.3096326877072181	-10.375379632595557
clres	roberta-base	11	2500	0.5256745096715465	0.01654738611721327	0.03174391477463157	0.969495225102319	0.7821565457378155	0.18203603583037686	0.24331707285887036	13.297012347411146	4.20000291801967	0.3158606466088893	-9.097009429391477
clres	distilroberta-base	5	0	0.4228594736020282	0.013386180785612873	0.02567706838522562	0.9545156889495228	0.6726534203720973	0.009797731452637659	0.012642357167561753	2.1113851846955445	0.6955666838191296	0.329436186661236	-1.4158185008764148
clres	distilroberta-base	5	100	0.47680740009554917	0.015039697395653067	0.028850088717577146	0.9688949522510238	0.7256849604604072	0.22191922618561352	0.2918180701920754	14.6208951893006	4.50074993671932	0.3078299843099153	-10.12014525258128
