clres	distilbert-base-cased	5	100	0.5803178043390286	0.08767221317198044	0.1459803701552583
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241
clres	bert-base-cased	11	0	0.5958723994819344	0.08990127085631029	0.14972166040414855
clres	bert-base-cased	11	100	0.5978853414558065	0.09037796845119449	0.15049138316540106
clres	bert-base-cased	11	250	0.6013420931855925	0.09091120195080489	0.15137606206883897
clres	bert-base-cased	11	500	0.5980656075101164	0.09039119810585747	0.15051764709946014
clres	bert-base-cased	11	1000	0.6025931976071449	0.09116299541641791	0.15178837134218098
clres	bert-base-cased	11	2500	0.5966623862600764	0.09022571359188918	0.1502331257750349
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241
clres	bert-base-cased	11	0	0.5958723994819344	0.08990127085631029	0.14972166040414855
clres	bert-base-cased	11	100	0.5978853414558065	0.09037796845119449	0.15049138316540106
clres	bert-base-cased	11	250	0.6013420931855925	0.09091120195080489	0.15137606206883897
clres	bert-base-cased	11	500	0.5980656075101164	0.09039119810585747	0.15051764709946014
clres	bert-base-cased	11	1000	0.6025931976071449	0.09116299541641791	0.15178837134218098
clres	bert-base-cased	11	2500	0.5966623862600764	0.09022571359188918	0.1502331257750349
clres	distilbert-base-cased	5	0	0.5805977783331562	0.0874628153109854	0.14567215799125335
clres	distilbert-base-cased	5	100	0.5803178043390286	0.08767221317198044	0.1459803701552583
clres	distilbert-base-cased	5	250	0.5880357407031682	0.08883619512096408	0.1479177726553492
clres	distilbert-base-cased	5	500	0.5818423253200159	0.08796850178587688	0.1464700215965169
clres	distilbert-base-cased	5	1000	0.5828218613259294	0.08803543422610315	0.14659178332867223
clres	distilbert-base-cased	5	2500	0.5827984798701346	0.087996706498973	0.146524562327678
clres	roberta-base	11	0	0.39839864671187797	0.05896403962319516	0.0983110488023865
clres	roberta-base	11	100	0.45783532461132787	0.06882111887970374	0.11460757901276115
clres	roberta-base	11	250	0.4646691971325756	0.06980271878256823	0.11626652052880646
clres	roberta-base	11	500	0.46312891260544176	0.06950172516720463	0.11577822572979214
clres	roberta-base	11	1000	0.4350985005591117	0.06492752779998179	0.10818478448368964
clres	roberta-base	11	2500	0.446375238028077	0.0668753984073823	0.11140556974161608
clres	distilroberta-base	5	0	0.3241613702971122	0.04800176564033553	0.08001576472853386
clres	distilroberta-base	5	100	0.38323084172921784	0.05731999575032124	0.09547906224523857
clres	distilroberta-base	5	250	0.40027784807855615	0.05980805617670571	0.09962592632435108
clres	distilroberta-base	5	500	0.37071066034992195	0.055433366049114155	0.09233745950293332
clres	distilroberta-base	5	1000	0.41822721058030643	0.06272366463963737	0.10446430347981606
clres	distilroberta-base	5	2500	0.41219431587551014	0.061723801236454136	0.10280480049513295
clres	albert-base-v2	11	0	0.5652714132879	0.08554540073458732	0.14243020964376923
clres	albert-base-v2	11	100	0.5533964136095979	0.08365110643421599	0.13927722532607206
clres	albert-base-v2	11	250	0.5370020162434735	0.08129190233833515	0.13533561943965497
clres	albert-base-v2	11	500	0.5372685431449792	0.0812869949712135	0.13534184607706978
clres	albert-base-v2	11	1000	0.5359144046652615	0.08105973834120872	0.13496573111061358
clres	albert-base-v2	11	2500	0.4988164349932775	0.07522118566036974	0.1252682077630748
clres	xlnet-base-cased	11	0	0.3575681157737535	0.05117430259736318	0.08552531821530225
clres	xlnet-base-cased	11	100	0.48203288278520307	0.07031326203316773	0.11739595746805462
clres	xlnet-base-cased	11	250	0.4642222256321514	0.06737033420687841	0.11252523156659666
clres	xlnet-base-cased	11	500	0.46501313023936414	0.06783744472888059	0.11325752083869758
clres	xlnet-base-cased	11	1000	0.443791867576807	0.06425906345175098	0.10734846375301701
clres	xlnet-base-cased	11	2500	0.4753775897657625	0.06921461889488115	0.11559640066205903
clres	gpt2	11	0	0.21755712327721505	0.03241672653317279	0.05398614601806745
clres	gpt2	11	100	0.18557965412478364	0.027770107557345373	0.04622496626147379
clres	gpt2	11	250	0.2119549982837704	0.031406593073023646	0.05232153350215604
clres	gpt2	11	500	0.2109166913683654	0.031177515152128375	0.051946651076679284
clres	gpt2	11	1000	0.2120875226912873	0.0314203033461161	0.05234154846440679
clres	gpt2	11	2500	0.19590501473198654	0.029229543361900617	0.048668297855605724
